10,11,12,13,26,28,11,26,28,11,13,10,12
4,9,19,20,21,26,12,9,4,26,21,19,20
1,7,10,23,28,32,16,23,7,28,10,1,32
4,6,7,10,13,25,3,13,4,7,25,6,10
4,6,15,17,30,31,16,4,30,17,15,31,6
1,3,10,21,26,27,6,1,10,27,26,21,3
1,9,19,21,23,26,7,23,19,9,26,1,21
5,8,9,14,17,23,8,9,8,17,23,14,5
5,9,18,20,22,30,9,30,18,9,22,5,20
1,2,8,13,17,24,13,1,17,24,8,2,13
4,5,11,12,30,32,15,12,11,30,4,5,32
2,12,16,17,27,30,12,17,2,12,16,27,30
8,13,17,21,23,32,12,23,13,8,32,17,21
3,5,7,8,21,31,2,3,21,7,31,8,5
4,11,19,25,26,32,13,25,26,4,11,32,19
11,17,28,30,31,33,6,30,33,11,17,28,31
5,8,18,23,25,31,6,25,31,18,8,5,23
5,16,19,20,25,28,13,16,20,5,19,25,28
4,8,12,13,16,33,9,12,33,13,8,16,4
7,10,25,26,27,32,4,26,25,27,32,10,7
14,15,18,25,26,30,1,15,18,30,26,25,14
2,7,11,12,14,32,8,14,2,32,11,7,12
1,10,20,22,26,31,2,20,31,22,10,26,1
2,7,15,17,22,30,14,15,2,30,17,22,7
1,5,11,13,14,27,12,27,1,14,5,13,11
8,13,15,26,29,31,16,31,26,13,8,29,15
1,11,14,17,27,28,15,17,27,11,28,14,1
6,13,16,20,28,32,7,13,32,16,20,6,28
2,7,15,26,29,32,10,15,32,7,2,26,29
2,6,13,14,23,27,7,27,23,6,13,2,14
11,17,20,22,28,32,1,32,22,17,28,11,20
4,11,25,27,29,30,13,25,27,4,29,30,11
1,7,14,20,27,30,10,27,30,20,1,7,14
8,13,14,16,23,25,14,8,25,16,23,13,14
3,4,5,8,10,11,8,10,4,5,8,11,3
7,21,24,25,27,28,15,27,24,21,7,25,28
9,14,17,18,26,32,7,14,32,26,9,18,17
5,7,8,24,25,27,16,8,7,24,5,25,27
3,5,23,24,27,32,3,5,27,24,23,3,32
4,5,6,12,14,23,16,23,14,4,5,12,6
2,3,17,18,24,25,11,17,18,24,3,2,25
3,5,7,10,15,20,7,20,5,10,15,3,7
2,8,10,19,20,32,13,20,2,8,19,10,32
2,5,9,16,32,33,15,16,33,32,9,5,2
3,7,14,15,17,32,3,3,15,17,7,32,14
7,8,10,11,17,26,11,11,10,7,8,17,26
3,17,26,28,32,33,16,3,32,17,26,33,28
10,12,20,28,30,31,9,31,28,30,20,12,10
3,6,7,13,24,25,15,24,25,13,3,6,7
2,8,17,23,24,26,13,24,23,26,2,17,8
4,13,15,17,24,27,1,13,4,17,24,27,15
1,12,13,23,30,31,11,1,30,12,13,31,23
15,19,20,21,28,29,13,20,29,19,21,28,15
2,5,9,21,31,33,12,9,2,33,21,31,5
6,13,16,21,28,31,16,28,13,16,6,31,21
8,17,21,26,28,29,7,17,8,28,29,21,26
18,19,24,25,30,31,16,25,31,18,24,30,19
9,11,16,28,32,33,2,11,32,33,16,9,28
2,3,5,6,18,30,4,6,5,3,30,18,2
2,4,6,17,21,28,11,6,28,4,17,2,21
3,5,20,21,28,32,2,28,20,32,21,5,3
1,6,12,19,20,32,14,12,6,1,20,19,32
5,8,9,14,21,33,11,8,9,33,5,14,21
4,6,8,12,15,30,1,4,30,6,15,8,12
6,15,16,17,30,33,11,30,6,15,16,17,33
3,7,8,20,24,32,14,32,20,7,3,8,24
5,11,12,13,27,31,10,13,12,31,11,27,5
9,19,25,27,32,33,11,27,9,25,32,19,33
7,11,16,19,26,28,11,16,28,19,7,11,26
